Date,Open,High,Low,Close,Adj Close,Volume
2024-06-10,75900.0,80500.0,75100.0,78100.0,76795.7421875,109031367.0
2024-06-17,78700.0,82500.0,78600.0,80600.0,79253.9921875,96027124.0
2024-06-24,80600.0,82100.0,79900.0,81800.0,80433.953125,69384551.0
2024-07-01,82500.0,88600.0,81000.0,87400.0,86323.7421875,139596463.0
2024-07-08,87800.0,88800.0,84100.0,86700.0,85632.359375,115365122.0
2024-07-15,86900.0,88000.0,82600.0,83000.0,81977.921875,96631650.0
2024-07-22,84200.0,84700.0,80100.0,81200.0,80200.0859375,80334753.0
2024-07-29,80400.0,86100.0,70200.0,71400.0,70520.765625,135223362.0
2024-08-05,74900.0,76000.0,72300.0,75500.0,74570.28125,134647864.0
2024-08-12,76500.0,80200.0,75500.0,78300.0,77335.796875,60170472.0
2024-08-19,79500.0,79800.0,76000.0,76100.0,75162.8828125,51714779.0
2024-08-26,75700.0,76500.0,73500.0,74400.0,73483.8203125,66809034.0
2024-09-02,74100.0,74300.0,66600.0,67500.0,66668.7890625,111653528.0
2024-09-09,67000.0,67300.0,64200.0,64400.0,63606.96875,127390324.0
2024-09-16,64000.0,64700.0,62200.0,62600.0,61829.12890625,110691145.0
2024-09-23,62800.0,65400.0,61500.0,61500.0,60742.67578125,154303146.0
2024-09-30,60500.0,61900.0,59500.0,61000.0,60586.8828125,87787647.0
2024-10-07,60000.0,61200.0,58900.0,59300.0,58898.3984375,123184218.0
2024-10-14,61100.0,61400.0,58500.0,59000.0,58600.4296875,102326545.0
2024-10-21,58800.0,60000.0,55700.0,58100.0,57706.5234375,139987553.0
2024-10-28,58000.0,61200.0,57300.0,58700.0,58302.4609375,118687148.0
2024-11-04,57800.0,58300.0,55000.0,55000.0,54627.51953125,100308516.0
2024-11-11,54600.0,57500.0,49900.0,56700.0,56316.00390625,233871310.0
2024-11-18,56500.0,57900.0,54700.0,57900.0,57507.87890625,123020017.0
2024-11-25,57900.0,58900.0,53100.0,53600.0,53237.0,111577324.0
2024-12-02,53100.0,54600.0,52000.0,53400.0,53038.35546875,125057200.0
2024-12-09,54500.0,56600.0,53400.0,55600.0,55223.453125,100012715.0
2024-12-16,54700.0,55400.0,51900.0,53500.0,53137.67578125,94743516.0
2024-12-23,53700.0,54600.0,53100.0,53200.0,52839.70703125,45523650.0
2024-12-30,53200.0,56200.0,52300.0,55900.0,55900.0,54982868.0
2025-01-06,56800.0,57700.0,54100.0,54100.0,54100.0,101042203.0
2025-01-13,54200.0,55000.0,53200.0,53400.0,53400.0,85346124.0
2025-01-20,53700.0,54400.0,53100.0,53700.0,53700.0,59333391.0
2025-01-27,53700.0,53700.0,50800.0,51000.0,51000.0,74531176.0
2025-02-03,51600.0,55900.0,51500.0,55600.0,55600.0,101710218.0
2025-02-10,55500.0,57300.0,54500.0,56000.0,56000.0,109368975.0
2025-02-17,,,,,,
2025-02-18,56200.0,57200.0,55900.0,56900.0,56900.0,23583848.0
